smiles,norm_activity
O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(S(=O)(N)=O)C=C3)NC1=N\C4=CC=CC=C4,0.2961783439490446
O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(C#N)C=C3)NC1=N\C4=CC=CC=C4,0.4522292993630573
O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(I)C=C3)NC1=N\C4=CC=CC=C4,0.7961783439490446
FC(C(F)=C1)=CC=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,0.3057324840764331
ClC(C=CC=C1)=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,0.2420382165605095
N#CC(C=C1)=CC=C1C2=NN=C3C=CC=C(OCCC4=CC=CC=C4)N32,0.2101910828025477
OCCCNC1=C2C(C=C(S2)C3=CC(S(=O)(N)=O)=CC=C3)=NC=N1,0.0127388535031847
CC(N1C2=CC(F)=CC=C2)=CC(/C=C(C(N/3C4=CC=CC=C4)=O)\SC3=N/C5=CC=CC=C5)=C1C,0.3121019108280254
FC1=CC=C(N2C(C)=CC(/C=C3S/C(NC\3=O)=N\C4=CC=CC=C4)=C2C)C=C1,0.7515923566878981
FC1=CC=C(N2C(C)=CC(C(OC(C)C(O)=O)=O)=C2C)C=C1,0.8821656050955414
FC1=CC=C(N2C(C)=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1,0.8853503184713376
FC1=CC=C(N2C(C)=CC(C(CCC(NC)=O)=O)=C2C)C=C1,0.8885350318471338
FC1=CC=C(N2N=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1,0.89171974522293
FC1=CC=C(N2N=CC(C3=NC(C(N)=O)=CO3)=C2C)C=C1,0.8949044585987261
NC1=C2C(C=C(C3=CC(S(N)(=O)=O)=CC=C3)S2)=NC=N1,0.8312101910828026
O=C(/C(S/1)=C/C2=C(C)NC(C)=C2)NC1=N\C3=CC=CC=C3,0.4554140127388535
O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C([N+]([O-])=O)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4,0.7261146496815286
O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C([N+]([O-])=O)C=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,0.3439490445859872
O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4,0.767515923566879
O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,0.410828025477707
O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=N3)C(C)=C2)NC1=N\C4=CC=C(O)C=C4,0.8980891719745223
O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,0.4585987261146497
O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=C3)C(C)=C2)NC1=N\C4=CC=C(O)C=C4,0.3917197452229299
CC(N1C2=CC=C(F)C=C2)=C(C(OC(C)C(N)=O)=O)C=C1C,0.0477707006369426
CC(N1C2=CC=CC=C2)=CC(C(O)=O)=C1C,0.9012738853503184
NC1=C2C(C=C(C3=CC=CC=C3)S2)=NC=N1,0.2261146496815286
CC1=CC=C(N2C(C)=C(C(O)=O)C=C2C)C=C1,0.9044585987261148
BrC1=CC2=NC=NC(N3CCN(CC4=CC=C(F)C=C4)CC3)=C2S1,0.0254777070063694
FC(C=C1)=CC=C1CN(CC2)CCN2C3=C4C(C=C(C5=CC=CC(S(N)(=O)=O)=C5)S4)=NC=N3,0.3949044585987261
CC1=CC(/C=C(S/2)/C(NC2=N\C3=CC=CC=C3)=O)=C(C)N1C4=CC=C(N)C=C4,0.3471337579617834
CC(N1C2=CC=C(C(F)(F)F)C=C2)=CC(C(O)=O)=C1C,0.9076433121019108
O=C(NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O)CNC(C3=CC=CC=C3)=O,0.910828025477707
FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)C(NC4=CC(C(F)(F)F)=NC=C4)=O)C=C1)F,0.6910828025477707
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4=CC(Cl)=CC=C4)=O)N32,0.7356687898089171
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4=CC=C(Cl)C=C4)=O)N32,0.4394904458598726
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4CCOCC4)=O)N32,0.0509554140127388
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(N4CCN(C5=NC=CC=C5)CC4)=O)N32,0.054140127388535
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCCN4CCOCC4)=O)N32,0.0573248407643312
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(N4CCCC4)=O)N32,0.0605095541401273
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(N4CCCC4C5=CC=CC=C5)=O)N32,0.3025477707006369
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(N4CCN(S(C)(=O)=O)CC4)=O)N32,0.0636942675159235
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(N4CCOCC4)=O)N32,0.0668789808917197
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(N[C@H](C)C4=CC=CC=C4)=O)N32,0.4363057324840764
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,0.5796178343949044
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4Cl)N32,0.678343949044586
CC(N1C2=CC=C(F)C=C2)=CC(C(NCC(N)=O)=O)=C1C,0.9140127388535032
C12=CC=CC=C1C3=C(C4(CCN(CC5=CC=CC=C5)CC4)OCC3)N2,0.4872611464968153
O=C(NC1=C(C)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,0.2643312101910828
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC=CC(Cl)=C4)=O)N32,0.7452229299363057
O=C(NC1=C(F)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,0.5063694267515924
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=O)N32,0.6815286624203821
FC(C=C1)=C(F)C=C1C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,0.7484076433121019
FC1=CC=C(N2C(C)=CC(C(NCC(NC3=C(C)N(C)N(C4=CC=CC=C4)C3=O)=O)=O)=C2C)C=C1,0.0222929936305732
FC(C=C1)=C(F)C=C1C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,0.6178343949044586
